SampleID,Tissue,Factor,Condition,Replicate,bamReads,bamControl,Peaks,PeakCaller
dmc1,Amygdala,H3K4me3,WT,1,C:/Users/siwase/Dropbox/Documents/Manuscripts/KDM5C_KMT2A_DM/NatureCommunications/DM_ChIPseq/from_Bobby/MM10_BW1/dmc1_S1_R1_001_bw1_mm10.nodup.bam,C:/Users/siwase/Dropbox/Documents/Manuscripts/KDM5C_KMT2A_DM/NatureCommunications/DM_ChIPseq/from_Bobby/MM10_BW1/merged_input.bam,C:/Users/siwase/Dropbox/Documents/Manuscripts/KDM5C_KMT2A_DM/NatureCommunications/DM_ChIPseq/from_Bobby/MACS_20191123/WT1_peaks.narrowPeak.filtered.bed,macs
dmc5,Amygdala,H3K4me3,WT,2,C:/Users/siwase/Dropbox/Documents/Manuscripts/KDM5C_KMT2A_DM/NatureCommunications/DM_ChIPseq/from_Bobby/MM10_BW1/dmc5_S5_R1_001_bw1_mm10.nodup.bam,C:/Users/siwase/Dropbox/Documents/Manuscripts/KDM5C_KMT2A_DM/NatureCommunications/DM_ChIPseq/from_Bobby/MM10_BW1/merged_input.bam,C:/Users/siwase/Dropbox/Documents/Manuscripts/KDM5C_KMT2A_DM/NatureCommunications/DM_ChIPseq/from_Bobby/MACS_20191123/WT2_peaks.narrowPeak.filtered.bed,macs
dmc3,Amygdala,H3K4me3,Kdm5c_KO,1,C:/Users/siwase/Dropbox/Documents/Manuscripts/KDM5C_KMT2A_DM/NatureCommunications/DM_ChIPseq/from_Bobby/MM10_BW1/dmc3_S3_R1_001_bw1_mm10.nodup.bam,C:/Users/siwase/Dropbox/Documents/Manuscripts/KDM5C_KMT2A_DM/NatureCommunications/DM_ChIPseq/from_Bobby/MM10_BW1/merged_input.bam,C:/Users/siwase/Dropbox/Documents/Manuscripts/KDM5C_KMT2A_DM/NatureCommunications/DM_ChIPseq/from_Bobby/MACS_20191123/5C1_peaks.narrowPeak.filtered.bed,macs
dmc7,Amygdala,H3K4me3,Kdm5c_KO,2,C:/Users/siwase/Dropbox/Documents/Manuscripts/KDM5C_KMT2A_DM/NatureCommunications/DM_ChIPseq/from_Bobby/MM10_BW1/dmc7_S7_R1_001_bw1_mm10.nodup.bam,C:/Users/siwase/Dropbox/Documents/Manuscripts/KDM5C_KMT2A_DM/NatureCommunications/DM_ChIPseq/from_Bobby/MM10_BW1/merged_input.bam,C:/Users/siwase/Dropbox/Documents/Manuscripts/KDM5C_KMT2A_DM/NatureCommunications/DM_ChIPseq/from_Bobby/MACS_20191123/5C2_peaks.narrowPeak.filtered.bed,macs
dmc11,Amygdala,H3K4me3,Kdm5c_KO,3,C:/Users/siwase/Dropbox/Documents/Manuscripts/KDM5C_KMT2A_DM/NatureCommunications/DM_ChIPseq/from_Bobby/MM10_BW1/dmc11_S11_R1_001_bw1_mm10.nodup.bam,C:/Users/siwase/Dropbox/Documents/Manuscripts/KDM5C_KMT2A_DM/NatureCommunications/DM_ChIPseq/from_Bobby/MM10_BW1/merged_input.bam,C:/Users/siwase/Dropbox/Documents/Manuscripts/KDM5C_KMT2A_DM/NatureCommunications/DM_ChIPseq/from_Bobby/MACS_20191123/5C3_peaks.narrowPeak.filtered.bed,macs
dmc2,Amygdala,H3K4me3,Kmt2a_HET,1,C:/Users/siwase/Dropbox/Documents/Manuscripts/KDM5C_KMT2A_DM/NatureCommunications/DM_ChIPseq/from_Bobby/MM10_BW1/dmc2_S2_R1_001_bw1_mm10.nodup.bam,C:/Users/siwase/Dropbox/Documents/Manuscripts/KDM5C_KMT2A_DM/NatureCommunications/DM_ChIPseq/from_Bobby/MM10_BW1/merged_input.bam,C:/Users/siwase/Dropbox/Documents/Manuscripts/KDM5C_KMT2A_DM/NatureCommunications/DM_ChIPseq/from_Bobby/MACS_20191123/2A1_peaks.narrowPeak.filtered.bed,macs
dmc9,Amygdala,H3K4me3,Kmt2a_HET,2,C:/Users/siwase/Dropbox/Documents/Manuscripts/KDM5C_KMT2A_DM/NatureCommunications/DM_ChIPseq/from_Bobby/MM10_BW1/dmc9_S9_R1_001_bw1_mm10.nodup.bam,C:/Users/siwase/Dropbox/Documents/Manuscripts/KDM5C_KMT2A_DM/NatureCommunications/DM_ChIPseq/from_Bobby/MM10_BW1/merged_input.bam,C:/Users/siwase/Dropbox/Documents/Manuscripts/KDM5C_KMT2A_DM/NatureCommunications/DM_ChIPseq/from_Bobby/MACS_20191123/2A2_peaks.narrowPeak.filtered.bed,macs
dmc10,Amygdala,H3K4me3,Kmt2a_HET,3,C:/Users/siwase/Dropbox/Documents/Manuscripts/KDM5C_KMT2A_DM/NatureCommunications/DM_ChIPseq/from_Bobby/MM10_BW1/dmc10_S10_R1_001_bw1_mm10.nodup.bam,C:/Users/siwase/Dropbox/Documents/Manuscripts/KDM5C_KMT2A_DM/NatureCommunications/DM_ChIPseq/from_Bobby/MM10_BW1/merged_input.bam,C:/Users/siwase/Dropbox/Documents/Manuscripts/KDM5C_KMT2A_DM/NatureCommunications/DM_ChIPseq/from_Bobby/MACS_20191123/2A3_peaks.narrowPeak.filtered.bed,macs
dmc4,Amygdala,H3K4me3,DM,1,C:/Users/siwase/Dropbox/Documents/Manuscripts/KDM5C_KMT2A_DM/NatureCommunications/DM_ChIPseq/from_Bobby/MM10_BW1/dmc4_S4_R1_001_bw1_mm10.nodup.bam,C:/Users/siwase/Dropbox/Documents/Manuscripts/KDM5C_KMT2A_DM/NatureCommunications/DM_ChIPseq/from_Bobby/MM10_BW1/merged_input.bam,C:/Users/siwase/Dropbox/Documents/Manuscripts/KDM5C_KMT2A_DM/NatureCommunications/DM_ChIPseq/from_Bobby/MACS_20191123/DM1_peaks.narrowPeak.filtered.bed,macs
dmc12,Amygdala,H3K4me3,DM,3,C:/Users/siwase/Dropbox/Documents/Manuscripts/KDM5C_KMT2A_DM/NatureCommunications/DM_ChIPseq/from_Bobby/MM10_BW1/dmc12_S12_R1_001_bw1_mm10.nodup.bam,C:/Users/siwase/Dropbox/Documents/Manuscripts/KDM5C_KMT2A_DM/NatureCommunications/DM_ChIPseq/from_Bobby/MM10_BW1/merged_input.bam,C:/Users/siwase/Dropbox/Documents/Manuscripts/KDM5C_KMT2A_DM/NatureCommunications/DM_ChIPseq/from_Bobby/MACS_20191123/DM2_peaks.narrowPeak.filtered.bed,macs
